AuId: 1988515486  CC: 23
AuId: 2109410961  CC: 410
AuId: 2083878698  CC: 237
AuId: 2287168295  CC: 50
AuId: 2057970525  CC: 435
AuId: 1516528102  CC: 405
AuId: 2336759414  CC: 82
AuId: 2110039512  CC: 87
AuId: 2089598295  CC: 48
AuId: 2316452053  CC: 1
AuId: 2120803017  CC: 403
AuId: 2282130915  CC: 279
AuId: 2026169623  CC: 1532
AuId: 2303727934  CC: 9
AuId: 2222870882  CC: 3
AuId: 2229991714  CC: 42
AuId: 53972968  CC: 10
AuId: 2123270086  CC: 2715
AuId: 2307242690  CC: 2
AuId: 1986754503  CC: 127
AuId: 2083195751  CC: 435
AuId: 2232489627  CC: 15
AuId: 2241058690  CC: 22
AuId: 1997364357  CC: 453
AuId: 2166541077  CC: 391
AuId: 2280272751  CC: 14
AuId: 2134819458  CC: 135
AuId: 2305022722  CC: 267
AuId: 1971684990  CC: 1
AuId: 2099100995  CC: 41
AuId: 2142287012  CC: 3759
AuId: 2123732582  CC: 636
AuId: 2100639966  CC: 7
AuId: 50964197  CC: 39
AuId: 2226086672  CC: 136
AuId: 2117544595  CC: 2
AuId: 2304701023  CC: 32
AuId: 1994440192  CC: 12
AuId: 2157788417  CC: 9
AuId: 2224417590  CC: 0
AuId: 2186576874  CC: 47
AuId: 2331759527  CC: 12
AuId: 664037095  CC: 103
AuId: 2139938375  CC: 11
AuId: 2225254104  CC: 0
AuId: 2121373522  CC: 10
AuId: 2104553111  CC: 2
AuId: 2346545240  CC: 3
AuId: 2017338731  CC: 132
AuId: 2127975127  CC: 511
AuId: 2291778986  CC: 310
AuId: 2137570737  CC: 2425
AuId: 2149260268  CC: 103
AuId: 2303158586  CC: 18
AuId: 2155704210  CC: 2221
AuId: 2303810083  CC: 66
AuId: 2025252644  CC: 3799
AuId: 2346544113  CC: 0
AuId: 2228267264  CC: 7
AuId: 2303277363  CC: 44
AuId: 2149260263  CC: 23
AuId: 180384743  CC: 37
AuId: 2049884429  CC: 123
AuId: 2308128927  CC: 5
AuId: 226718443  CC: 688
AuId: 2204673887  CC: 111
AuId: 346361738  CC: 760
AuId: 165704309  CC: 81
AuId: 1222483282  CC: 10
AuId: 2137524455  CC: 80
AuId: 2056023750  CC: 316
AuId: 2227520764  CC: 8
AuId: 2168760521  CC: 616
AuId: 2038337497  CC: 232
AuId: 2186887836  CC: 3
AuId: 2097960690  CC: 180
AuId: 1780941425  CC: 61
AuId: 2301103876  CC: 462
AuId: 2305743833  CC: 257
AuId: 731110535  CC: 519
AuId: 2168740579  CC: 5763
AuId: 2146640264  CC: 2879
AuId: 2344226991  CC: 11131
AuId: 2239111028  CC: 26
AuId: 2125981251  CC: 11
AuId: 1195923131  CC: 64
AuId: 2098269712  CC: 4323
AuId: 1987412570  CC: 343
AuId: 1994429624  CC: 216
AuId: 2223359066  CC: 12
AuId: 2308448077  CC: 69
AuId: 2029335975  CC: 22
AuId: 2087564964  CC: 25
AuId: 2311234784  CC: 2
AuId: 2230855045  CC: 0
AuId: 1972599212  CC: 25
AuId: 346619331  CC: 312
AuId: 2191793748  CC: 1241
AuId: 2303848275  CC: 771
AuId: 2300321912  CC: 0
AuId: 2269556226  CC: 5
AuId: 2337519203  CC: 20
AuId: 2313142334  CC: 2
AuId: 1994241518  CC: 4
AuId: 2130190215  CC: 937
AuId: 2111217353  CC: 28
AuId: 2210592082  CC: 1
AuId: 2305455941  CC: 41
AuId: 2139687702  CC: 43
AuId: 1269349999  CC: 518
AuId: 2027215176  CC: 23
AuId: 2158849989  CC: 3
AuId: 2205449119  CC: 15
AuId: 1192958684  CC: 81
AuId: 1893731158  CC: 7
AuId: 2190458691  CC: 1191
AuId: 2232052976  CC: 8
AuId: 1752089315  CC: 7848
AuId: 2145026163  CC: 777
AuId: 2178454347  CC: 146
AuId: 1969956078  CC: 324
AuId: 2102940573  CC: 4818
AuId: 1930388715  CC: 0
AuId: 1905745998  CC: 0
AuId: 2340576161  CC: 136
AuId: 2099152697  CC: 30
AuId: 2121920213  CC: 368
AuId: 2274878914  CC: 78
AuId: 2310108144  CC: 6
AuId: 2098302004  CC: 7
AuId: 2012663945  CC: 3880
AuId: 2016917909  CC: 2
AuId: 2226449433  CC: 476
AuId: 225995244  CC: 349
AuId: 7515524  CC: 54
AuId: 1988575036  CC: 624
AuId: 2105237626  CC: 19
AuId: 2005580096  CC: 11
AuId: 2146880117  CC: 35
AuId: 1542709519  CC: 320
AuId: 2176843548  CC: 4
AuId: 2306564270  CC: 0
AuId: 2270661123  CC: 69
AuId: 1217780865  CC: 825
AuId: 2322922374  CC: 28
AuId: 2182192641  CC: 59
AuId: 2230050697  CC: 130
AuId: 2225062949  CC: 4
AuId: 2097082097  CC: 242
AuId: 2344369974  CC: 8
AuId: 2152272630  CC: 155
AuId: 2102289469  CC: 40
AuId: 2165832474  CC: 528
AuId: 2154374519  CC: 85
AuId: 2251186863  CC: 86
AuId: 2153536308  CC: 64
AuId: 2176037993  CC: 1226
AuId: 2127769059  CC: 3
AuId: 1915371759  CC: 2804
AuId: 2100015765  CC: 155
AuId: 2175983249  CC: 15
AuId: 2110471832  CC: 128
AuId: 2086420280  CC: 762
AuId: 2324900477  CC: 58
AuId: 2100056893  CC: 477
AuId: 2136177245  CC: 126
AuId: 2168613017  CC: 15
AuId: 2232407169  CC: 244
AuId: 2131539465  CC: 212
AuId: 1895895834  CC: 61
AuId: 2309224870  CC: 132
AuId: 2148517220  CC: 163
AuId: 2126199164  CC: 243
AuId: 2153589889  CC: 632
AuId: 1570620263  CC: 3
AuId: 2234100672  CC: 164
AuId: 1982153417  CC: 1792
AuId: 2006253271  CC: 127
AuId: 1823904901  CC: 2768
AuId: 2069678115  CC: 689
AuId: 2171707840  CC: 1371
AuId: 2102777907  CC: 5
AuId: 2079810293  CC: 2487
AuId: 2111691029  CC: 208
AuId: 2294941475  CC: 29
AuId: 2071270748  CC: 31
AuId: 2333046142  CC: 69
AuId: 2346145783  CC: 0
AuId: 1994559040  CC: 0
AuId: 2229483551  CC: 0
AuId: 2293678618  CC: 2
AuId: 2274812495  CC: 95
AuId: 2220172657  CC: 58
AuId: 2163653737  CC: 18
AuId: 2245231238  CC: 2810
AuId: 2134651905  CC: 1871
AuId: 2302877690  CC: 0
AuId: 2020614481  CC: 116
AuId: 2097980204  CC: 26
AuId: 2312976190  CC: 12
AuId: 2306446143  CC: 12
AuId: 2188336787  CC: 6
AuId: 2153527255  CC: 154
AuId: 2307687081  CC: 8
AuId: 2305146576  CC: 4
AuId: 2171908466  CC: 2
AuId: 1956346603  CC: 54
AuId: 2279430532  CC: 0
AuId: 2228280214  CC: 41
AuId: 2156753481  CC: 46
AuId: 2115550105  CC: 44
AuId: 2303291730  CC: 10
AuId: 2138497069  CC: 157
AuId: 2230204211  CC: 0
AuId: 2105606496  CC: 162
AuId: 2296131800  CC: 99
AuId: 2150171160  CC: 77
AuId: 2177318453  CC: 187
AuId: 2319254030  CC: 11
AuId: 2297390042  CC: 358
AuId: 2143644221  CC: 768
AuId: 2222783565  CC: 542
AuId: 2300890174  CC: 1
AuId: 2247842698  CC: 3321
AuId: 2314348251  CC: 12
AuId: 2313320449  CC: 9
AuId: 2224919995  CC: 4
