858AAC4E	kijoong lee	2003
7ED7FA69	peter f brown	1988
828DD110	christopher culy	2001
76C10985	tetsuya ogata	2009
8623585F	gemma boleda torrent	2003
32CD1F54	diana inkpen	2005
830E5C04	joan bresnan	2004
015AB990	thomas kleinbauer	2010
3555A01D	jason michelizzi	2004
7D8F09C5	andrea weber	2004
7D69E101	mingjun chen	2004
7FA9C9D6	gabriel murray	2005
862DEC37	franz josef och	2008
81C19A94	a c cem say	2004
862EE87E	alexander mikhailian	2009
80A77EC6	xinyu dai	2010
86398E99	mohsen imany	2015
817EB2B5	jacques virbel	1967
80E41C90	brigitte barnett	1986
863CD6C0	m nuhn	2013
1084B13F	graham neubig	2011
7AA552E1	lisa m bedore	2009
45B76EFB	irina chugur	2000
7A522A2F	ester boldrini	2009
7ED14EFB	donna gates	1996
7489A5BB	b ashok	2009
4A47D0D5	tee kiah	2008
114D8AB7	gunaranjan vasireddy	2002
01997CBE	ric gaussier	2006
73BA178E	claire gardent	2002
7DEBD08A	hans van halteren	1998
80675268	melanie siegel	2000
8631618B	eduard dragut	2015
0E0A588F	ian densham	2003
7FA7D551	yulong pei	2012
8625E674	karen fort	2010
85266BB4	david a campbell	2002
852FA1E1	alex rudnicky	2007
8257D1C5	ke tran	2014
7F76C55C	janara christensen	2009
7E01F188	scott miller	1994
7E69BE3D	yoonjae jeong	2010
7E9C4FD4	sonia halimi	2008
86371331	na li	2010
7D55CCF1	xuanhui wang	2006
7AE4F436	nobuyuki hiruma	2014
7A4D0004	jessica littman	2005
7E8918A4	yoni neeman	2002
7D23A449	sengcho t chou	2012
8584A59D	philippe	2001
2C14432F	johannes matiasek	1994
7A0730E3	charles k nicholas	2009
7DE7F71E	xiaolong li	2010
7F8B6A72	hideki mima	2002
7F866354	lappoon r tang	2000
7933A00D	jethran guinness	2004
7D0EF00A	andre dugas	1973
850A9E7C	jie zhou	2015
808403AF	christopher re	2013
855F7B48	brian wolf	2005
0CE50ECC	peter ljunglof	2014
7F990360	rui wang	2011
7DEF2562	nando de freitas	2003
