18549.9411542	famous
17618.9416999	famous
16675.9417261	famous
16158.9420444	famous
13040.9432794	famous
12635.9433527	famous
12470.9435968	famous
11765.9432614	famous
11243.9439412	famous
11086.943966	famous
10593.9442509	famous
10577.944092	famous
10570.9442079	famous
9428.94390794	famous
9246.94474686	famous
9063.94485385	famous
8929.94433232	famous
8851.94459585	famous
8676.94457511	famous
8457.9442151	famous
8455.94501074	famous
8412.94492198	famous
7826.94533901	famous
7605.94540675	famous
7519.94509781	famous
7325.94544196	famous
7221.9446524	famous
7205.94523206	famous
7110.94543562	famous
7014.94552907	famous
7013.94524497	famous
6981.9453193	famous
6691.94580091	famous
6682.94555541	famous
6674.94581603	famous
6571.94547728	famous
6506.94586831	famous
6455.94575099	famous
6454.9459459	famous
6445.94542351	famous
6353.94566752	famous
6300.94583311	famous
6242.94554514	famous
6212.9458575	famous
5970.94572481	famous
5962.94505737	famous
5949.94592999	famous
5790.94604269	famous
5673.946046	famous
5631.94621657	famous
5609.94531404	famous
5458.94610619	famous
5346.94619273	famous
5321.94595289	famous
5260.94632562	famous
5062.94623465	famous
4916.94639573	famous
4874.94598422	famous
4836.94641097	famous
4742.94523169	famous
4729.94655702	famous
4687.94530489	famous
4669.94651797	famous
4601.94554597	famous
4447.94651642	famous
4382.94634175	famous
4359.94619775	famous
4308.94541149	famous
4304.94646969	famous
4198.94654829	famous
4106.94536766	famous
4103.94662785	famous
4086.94623672	famous
4043.94651834	famous
4027.94665751	famous
3987.94631727	famous
3962.9463989	famous
3887.94648512	famous
3886.94606337	famous
3883.94625155	famous
3858.94656228	famous
3845.94640126	famous
3835.94659874	famous
3811.94673612	famous
3808.94595287	famous
3779.94614373	famous
3774.94661009	famous
3758.94661796	famous
3748.94560627	famous
3725.9467949	famous
3695.94664369	famous
3664.94610689	famous
3658.94688123	famous
3645.94696431	famous
3596.94657182	normal
3582.94650621	normal
3569.94677972	normal
3551.94607117	normal
3547.9465875	normal
3533.94664219	normal
3530.94678075	normal
3522.94620192	normal
3516.94654399	normal
3451.94633075	normal
3426.94685952	normal
3418.94673547	normal
3389.94673922	normal
3365.94701305	normal
3358.9469675	normal
3342.94699039	normal
3326.94665631	normal
3244.94637793	normal
3235.94707336	normal
3230.94628986	normal
3217.94702631	normal
3152.94646509	normal
3130.9464036	normal
3120.94717598	normal
3084.94575927	normal
3027.9469075	normal
3016.94575297	normal
3007.94698237	normal
3003.94660144	normal
2992.94685699	normal
2958.94686681	normal
2938.94725585	normal
2921.94660194	normal
2894.94684564	normal
2878.94677639	normal
2878.94668174	normal
2858.94678637	normal
2856.9471747	normal
2846.94723624	normal
2833.94672362	normal
2830.94670937	normal
2829.94611481	normal
2828.94667403	normal
2826.94672993	normal
2807.94720222	normal
2804.94648162	normal
2785.94717298	normal
2783.9466724	normal
2764.94696921	normal
2761.9467639	normal
2760.94688285	normal
2759.9465243	normal
