2163965401	5837	2001
306299199	5171	2001
2157167265	11885	1995
416744812	13606	1995
2210954662	7598	1998
2109397140	6164	1996
2166047619	5490	1998
2165599877	5327	2001
2287094311	7744	2000
2052912447	6844	2000
2219095058	7059	1996
1904459132	6208	2000
2303073779	5876	2001
2039327151	8213	1996
2239689102	5217	1997
2165865788	5853	2000
14864848	8454	1995
1982623476	8966	1996
278697306	16526	1995
168172700	10238	1997
727299494	7357	2000
1991395435	5371	1998
2275422762	8431	1996
2165001233	5637	1995
2224435047	5015	1997
2051963343	5527	1999
1383184028	5126	2001
2000084066	18811	1999
429870382	12337	1998
2057376868	6034	1996
298237991	11609	1997
2295375512	9865	2001
2096859791	5001	2000
2148001072	12797	1995
2040834078	7841	1998
2240185769	9429	1996
13675136	7372	1996
127857000	5603	2001
2066703253	13841	1995
2279134939	9220	2001
2291315724	15107	2000
2141728717	5232	1997
526281232	10514	1995
2164391792	6204	1996
2063561109	8215	1999
678123104	8836	1997
182807181	6231	1999
2046054784	7454	1995
1529151164	5555	1997
211892740	5534	1997
249135299	10174	1995
2169057019	12710	1995
776894140	6494	1997
1988556028	7842	1998
667383481	5081	1996
2024843826	9282	1999
1901316852	12150	1995
2150175776	7320	1997
2212399178	7003	1995
2033688783	6367	1996
2134193755	10504	1996
2167964723	5626	1997
2301028004	6201	1998
183793685	8648	1996
2006324995	11494	1997
2131426618	5093	1998
2213385919	19936	1997
2126833178	6719	1997
2157095084	11964	1999
2032463139	6762	2000
2159960587	5473	1996
1705770522	7841	1996
181181486	5065	1997
2106730373	5954	2001
2119587503	10071	2000
1894026377	5448	1999
1998006409	6733	1997
288387022	5960	1998
2231497158	20429	2000
323494375	11326	1995
2012935325	5191	1995
308519817	7667	2001
321126301	6517	1996
248964699	14367	1999
131636938	7159	1998
696648706	13900	1997
1557077696	6961	1997
9988965	9213	1995
2060596224	9999	1995
196700306	25541	1995
153977061	9787	1997
659723880	6192	1998
1968140401	5652	1995
1967327830	5268	1995
2251071769	6009	1995
149531881	6966	1999
2144059896	8076	1996
2060522035	5702	1998
2159809079	10626	1997
558944734	12458	1995
11167979	5198	1995
2304833689	5032	1999
297432538	17545	1995
177795906	14022	1998
2274767676	7224	1995
2151772098	5079	1998
1470675749	6527	1998
117054511	5425	1995
2137654111	8907	1995
2344849893	9693	1998
743110503	5798	1998
1971062812	21178	2000
621587920	9574	2001
1244011326	16427	1996
2088627232	5705	2000
1986628919	5114	2000
1993055715	5671	1998
1802812699	5252	1998
2147355314	6489	1999
2242368477	12310	1996
679243772	19246	1995
2134516605	7210	1995
2007415138	13914	2000
2087090367	6121	1995
2124070842	8956	1996
2131082813	6635	2001
2020213898	6518	1995
2101293683	7546	1995
1212883795	6725	1995
2136159895	5562	2000
2098307559	6183	1996
1984847219	6742	1999
2114195131	7060	1997
284908851	7684	1996
2138618021	9161	1996
2010759395	15871	1997
