808403AF	christopher re
855F7B48	brian wolf
0CE50ECC	peter ljunglof
7F990360	rui wang
7DEF2562	nando de freitas
6FE822E2	mats eegolofsson
84D6AB83	sunhee lee
7BC880EA	hoang kiem
75989A82	eugene koontz
80E79A4C	ping wai wong
83321D62	michael strube
82347DAE	qing gu
774BA42C	dan i moldovan
79646BB9	federica busa
0B08E662	anna samiotou
8025B10E	albert gatt
86318DF5	shomir wilson
066D0AF7	mark hasegawajohnson
85D6CFCD	zushun chen
7FE09175	bin chen
8414D5D9	cetinoglu ozlem
7DD91EE5	wei ku
4A574861	pascal poupart
7FA7C5AC	judy delin
863C7B53	suzi park
7D1FDFBD	conrad s tucker
7DF2EBFC	masashi toyoda
08318375	andrei popescubelis
81357EAE	nell dale
813A2D1E	nikolaj lindberg
844C4545	donald hindle
862B28FB	jose camachocollados
0386F104	karen kukich
01A6ADCB	yves grandvalet
775E803F	george saon
863354A5	hiroshi ishikawa
7D01D6D8	sanchuan hung
807190D4	hui jiang
470D856B	jens erik fenstad
7FAE303B	wenzhe pei
810F726F	barry s oken
802FFA91	david pierce
7D1179C4	ankur p parikh
7ED59043	haiqin zhang
7D394C3D	won seug choi
78792384	petya osenova
158219C6	carlo strapparava
810A7246	anna dickinson
852369B1	mohammad nasresfahani
7A2F6F68	grace y chung
82574DB7	antonio farina
84226611	raquel fernandez
7CFD667F	fen zhang
0BAE58B5	nathalie japkowicz
8011FDB0	j d allan
7D065F38	boxing chen
828CAD11	judy robertson
7657F30F	guodong zhou
7A3665E7	nobuyuki tsukahara
75AAB8E7	nobuko hatada
807F94AB	johannmattis list
7EB5BAC7	anders nygaard
8133BC8F	sungjin lee
862CF76F	pavel straaˆak
7A3331DD	achim rettinger
7FA52BDB	dongdong zhang
79A2F57C	oren glickman
75427C58	peter dienes
758C247B	roi reichart
17233D50	ergun bicici
773131FA	natalia ponomareva
76832526	sergio guadarrama
6ED3B9B5	eleftherios avramidis
78BC1653	brian langner
7EA6C455	linlin wang
7E456CDA	joao graca
7DBD40D7	sanae fujita
7D0F1BC2	chunghsien wu
7E93482F	o hamon
862AE1E5	r j h scha
8114C9C3	qiang deng
7FF11D2C	xiaojun wan
846133E9	jerry r hobbs
7F454C7D	pierpaolo basile
8218531B	aravind joshi
70D7055D	dan gutfreund
82AF7A9F	wei ding
85786162	xing wei
7FC51C30	j f gonzalez
0E595D32	ruslan mitkov
80ED2575	jeff bilmes
86353C5C	sho hoshino
8629AFA3	ryu iida
6CD02ED0	bruce jarrell
7CFEF4D0	koji murakami
72E201AD	erhard w hinrichs
7CF2950A	josemiguel benedi
84E27226	kenji araki
7C94BE30	manuel vilares ferro
7D765AFB	jessie pinkham
84061E3E	jacopo staiano
80B8B471	christian jacquemin
7DC85764	steve roach
7C871A73	praveen dakwale
8179F1E0	melanie ostendorf
800CCD33	premkumar mani
49D028B7	hideto kazawa
863B917D	yasuo koyama
862DEE37	nazneen fatema rajani
8198231E	beatrice arnulphy
7E35C410	wolfgang menzel
806A3312	erica greene
7D347A8B	james c lester
75971682	gregor leusch
821C4EF7	daniele pighin
7CFBA2E9	leong hwee teo
7DF2DE66	lorraine tanabe
8625EECB	xiaoyun wu
1DEF38CD	svetla boytcheva
863081C4	rebecca resnik
49DFD54F	ariya rastrow
8635B30E	slav petrov
7CC7050D	hema a murthy
73B7739A	steffen staab
7E0C809A	andrew freeman
690E2C68	george c demetriou
7F1C8164	victoria arranz
7FA5252B	stephen wan
85886CB1	kun wang
68C32669	ewa rudnicka
862F5FFE	hao peng
11D4B453	paola velardi
70984B0F	guadalupe aguado de cea
815E102A	alice oh
7D6DEDB1	huizhen wang
28D05282	egidio p giachin
7B5EF654	rebecca finc
7DB0C1A7	ewan klein
7F2769D4	guangping zeng
5DC2A529	lorenzo iloretti
82B4D079	michael heilman
7F3AD087	jeannette g neal
099205AD	christine d piatko
770DC5EA	neil newbold
0C81419A	roger c schank
7A7FB98B	simon charest
8326BC06	jonghoon lee
8635BFE7	sapan shah
841896CC	spiros taraviras
769ABD02	ladislav kunc
55965572	amber e boydstun
81404693	yanli sun
77A407F5	joel macauslan
7F39448E	alicia perez
454F7976	jan hajic
76CF0B72	stefan riezler
7EBBBF58	matthieu constant
7FB63054	alex b fine
862DECE0	boban arsenijevic
7F8A3E9E	mikio yamamoto
7DE14118	weifeng su
7E8050D9	sung dong kim
77C8AE3C	marc poch
7D55CCF1	xuanhui wang
8625ECFB	mark carman
82798396	sap asia
7EF38DB5	yunqing xia
806DBE1F	tim okeefe
295A2851	mike reape
7F14E5DD	cecile gros
18E6F096	w kwitakowski
84C5421A	stephan raaijmakers
84CF7D92	shiping tang
85C637DA	peng li
75DD2BF8	keith bonawitz
8628DBE2	daniel gillick
16E11179	tomek strzalkowski
7F62D6F0	xing yi
7B47BACC	john chen
7F29910E	liangjyh wang
04886638	nick cercone
7DB4B0AA	tomoharu iwata
790690C9	jonathan betz
6D9F730B	stefan geisler
291B8AE8	jan l bedrosian
8639D78C	michael collins
419AEE32	helene bestougeff
7E7F5A94	yaoyun zhang
86377C0D	svetlana stoyanchev
80A597CD	jiaju mao
80CB3625	suyoun yoon
7EBAA7DA	elia bruni
0F9CCC51	nikos voskarides
8634A2D5	hermann textscney
807F249B	jan van eijck
81F5EA0A	andreas stockel
85779F3D	b de vries
00C3E611	martin cmejrek
27AE3ECD	c anton rytting
7FFBAC7B	yang gao
7C36AB11	layki soon
7EB86832	eric gilbert
7E1E2C3F	fan long
7AE64316	andrea tagarelli
1A07433B	huang heyan
12F27EA4	lambros cranias
7F735E6A	heladia salgado
12ECB2B4	johannes daxenberger
26CE9F84	geert adriaens
8004A59C	luning ji
76C34F6F	richard castanet
84FD64C4	jared bernstein
4EF43BE9	laurent dousset
845E3AEB	christian buck
7F771D1D	masatsugu hangyo
7E18E605	ahmed el kholy
77A06B75	anne bracy
4AE0C86F	dominic widdows
7DA6233A	alex hai wang
7D29C867	congrui huang
7F3AF657	howard johnson
75279A27	montse maritxalar
8171B5EE	pedro m q aguiar
777418EF	heinz kirchmann
7606CC7B	gang ji
7FA7024E	qi yu
794F4D2E	c malavazos
81828116	abraham ittycheriah
85A02971	alicia perez
753FE01B	qing zhang
781185B7	a altmayer
7EE5254A	fangzhong su
86293921	kristina gulordava
777B02D5	james gung
861F5E60	luisina violante
7F548C5A	joy ying zhang
85210E52	jiři semecký
7D9CE456	hsuehueh shih
785451D5	roger hsiao
7BB3DC32	cristiano castelfranchi
483AC02E	spyros matsoukas
82CA7ADB	yue hu
81A39AB1	miguel ballesteros
86344B14	jatin sharma
8016C043	mark e epstein
76BF282C	soujanya poria
7CA60200	david chiang
7E3B61E9	luis hernandez
494DB1AF	david goodine
8085CC15	dan ellard
0E5FC3CE	guillaume cleuziou
81015D42	tuoi t phan
7DB3A3CE	denise danielson
7DB66B01	hyungjong noh
82BA736C	d okeeffe
862FEFCA	martin gleize
671ED45B	ralph grishman
7F1F05E7	ichiro ohsawa
853C5A36	daniel simon mills
756D31EF	gilad mishne
80967505	renato dominguez garcia
82396143	alberto massidda
77F74EE6	britta zeller
803CAA64	eiji komatsu
0F7E81A3	mark a fanty
7F742D2D	wauter bosma
851C05AA	william wang
863DA3C2	yang ding
0935CA7B	kemal oflazer
7ABC6036	james gorlinsky
811B944A	aasish pappu
80133796	mike conway
8187A14F	tong zhang
806827F6	amba kulkarni
7E047D88	eva safar
0775358E	ron zacharski
144323B8	sonia l sugg
09B135DF	paolo giangrandi
863EB9EF	chungchieh shan
808EBFA4	sandra kubler
7B2715A0	jirong wen
80C13D74	andrew f rowley
75C36661	marco battista
7EB8EDD5	fatiha sadat
7704872B	michael oakes
862DD68E	robert mercer
1171206F	tomas mikolov
7FB2F329	yuyang huang
77219F37	yaw gyamfi
748F6848	svetlana grigorieva
8633C638	timothy chklovski
363BCD5C	rathinavelu chengalvarayan
7D11D36B	jordi poveda
6A870FD9	david hefner
13170639	karen livescu
0AEC6FE2	david mcallester
7817453D	valentin i spitkovsky
7D1EA1E1	manabu sato
7F2F8CE6	ted dunning
80B9D9AC	seiki akama
75E6DD9D	susumu akamine
811BD523	tom van den broek
7D095A21	xiaoli li
86315566	david mareċek
845CD2BA	s krauwer
7B8B5DFE	tahira naseem
7F8F328A	jeanfrancois crespo
7B19A464	remko bonnema
802B45BE	zhenhua tian
7E45E1E3	thomas l cornell
43395952	janet hitzeman
0B64F37E	yves schabes
8108EAD8	riccardo serafin
7F053159	you ouyang
84241363	klemens bohm
7E538DEC	f erik
80A003E1	bilyana taneva
81EC07C2	fondazione bruno kessler
863B7079	ellen riloff
863DCD22	anggi maulidyani
767B1042	alena bohmova
7D4A852D	meng wang
861EF9A3	tuan luu anh
823D4097	katerina pastra
77CE782E	d c souter
072A4BA7	marjan ghazvininejad
7D309290	mamiko oka
86362C73	richard textsczens
783F8ABA	akio tsuruoka
7F550CC6	patri j pugliese
11674B42	sun maosong
0EE02160	iraklis varlamis
57BF3EBB	gustavo rodriguezrodriguez
7DCF2599	ferran pla
7DBAB0A1	jukka m toivanen
79F0A773	pierre m nugues
7C5C0ADA	andre bittar
817152CF	ashish vaswani
862BECEC	kathleen mckeown
793462FD	davor delac
862B98EE	hiroshi ichikawa
7DDBFECE	james m wilson
7FC3CD0B	hongliang yu
3723CD22	toshiyuki takezawa
7B4167CC	vaijayanthi m sarma
849E1047	laurent nepveu
84852F38	niranjan balasubramanian
7E385463	jungi kim
70C4521A	luz rello
71B15E73	amarnag subramanya
7E3B60A1	klinton bicknell
82A3E936	sasa hasan
8152C980	fernando batista
7D895CA5	chunfa yuan
01685ADF	yves bestgen
77EAD91F	chris brew
8016A8CE	jose miguel benedi
78C85897	junichiro nishi
862F45F9	amber graystone
43A89113	andrzej pastusiak
7565E0EB	ashwin ittoo
0D58793B	boris chuprin
0158FA97	chinatsu aone
7F139717	y c ju
8101B7B4	bertus van rooy
5F994A6A	e ben white blvd
80D7E5E9	s sato
7EEC4E39	w a phillips
8213E0CB	eva hasler
7747E98D	jose a r fonollosa
7ED702BA	manabu ori
58784F33	amir globerson
07DE9134	xia yingju
797A5780	laura stoia
074505C7	giovanni adorni
8242D57B	stanley loh
75741F6A	wenpeng yin
7DD2A85F	richard c wang
762313DC	akiko eriguchi
7D795E6F	jungjae kim
80B87475	francesca bertagna
8100A71F	ezra black
0E4E8F64	sisay fissaha adafre
04F5C8B6	malgorzata budzikowska
7FADCFE6	donald e walker
861F1274	wolfgang menzel
863E2F8D	tao bai
86398CF1	mitsuteru shiba
13F1C5D8	florian schwarck
0ECB62B1	stergos d afantenos
82CFB20B	amba kulkarni
86341AC8	ioan calapodescu
86209AE7	tong unviersity
7FA79753	fei cheng
8622D0A1	liang huang
80911318	erica costantini
7F787078	h s bosch
7D410EAB	dipankar das
78FF148A	joanna mrozinski
66711796	coskun mermer
862900B1	thomas lippincott
7FD2AC34	hao zhang
7DF7E02C	yutaka ohyama
84D6CA49	g j m kruijff
7F91F176	k k chang
8073D87D	yuan zhang
7F251EA0	wanli ma
81635F14	michael a white
0102D431	ulla vanhatalo
862C323B	hendra setiawan
8001DB5D	zhenbiao chen
7DA22ED6	siety meijer
7EE1B76A	mika enomoto
7F243EDD	kohji itoh
7DD32DD7	huizhong duan
7D389768	duo zhang
7A4D6BF6	inigo martinez de alegria
8157E187	umut orhan
7FFA170C	shoichi yokoyama
80DE24CC	bruce porter
863187FD	keith hall
7F9402F4	bea alex
025803A4	marisa malcuori
63A31527	abdol hamid pilevar
8620B0A2	nicholas h kirk
73717CEF	hod lipson
80B39721	yiming yang
7F3ACC11	susumu sawai
0AEE42C0	karine lespinasse
77D94D60	rachel rudinger
78AC4F93	yu tovmach
7628D9A2	paul piwek
7DD7596E	lokesh shrestha
84B4A434	fernando c pereira
8634411A	tomas ptaċek
8582EA1C	jeancharles marty
863CD9DF	maxim ionov
7F159134	michaela regneri
7DC3E1B3	roland kuhn
7E6724BD	daeneung sohn
75D12588	john lafferty
14D8575E	lea frermann
4BB2FEE6	andrey simanovsky
1EAFC7AC	gerhard weikum
85020791	xin li
7AAC14DC	shanmugasundaram ravikumar
13FE6DF6	vassilios v digalakis
7D193F47	rui fang
81E429C9	raphael dickfelder
7FC662BE	yo ehara
815D83F7	amitava das
7F3F8162	tadaaki tani
8045B852	simon dunne
7E23DE8C	anil ramakrishna
1382A06F	dzmitry bahdanau
86329A9F	xinyu dai
77F94743	michael kearns
86268CFC	laura kertz
8538D3B3	alexis manasterramer
3B7074BF	pascal amsili
7E901192	alexandre passos
799C3301	paweena chaiwanarom
7DE1EB3C	angel x chang
7FB79652	doug downey
7E246245	miho fujiwara
7F443C36	philippe blache
86369000	xianpei han
7DD7D001	katashi nagao
862A1F93	shin kanouchi
7D5E0EB0	paul s schmidt
7EC2CBCA	phong le
1F0864A7	roberto zamparelli
807B8391	rebecca row
7992008E	jerzy bala
7FA28EAE	vonwun soo
173C0ADA	ekaterina rakhilina
7F83E646	xuejie zhang
863E32BD	yijia liu
7FF9894A	laura alonso alemany
80963971	qing chen
4A1E7ADA	ricardo sanchezsaez
84DF32E6	patrick shane
7B306A2F	ralf steinmetz
757DB1E7	michael k brown
7E0621C7	aman kumar
7DFC59F2	vijay sundar ram
862C0F1C	jessie pinkham
81C216BE	alexandre klementiev
7E091410	andrea moro
203C10B1	karteek addanki
7DD8439A	daniel d walker
7B5DC8CA	paul a j ackermans
13C3B0AA	konstantina garoufi
7D96A5BE	pattabhi r k rao
86263339	martin mccaffery
0477DF6D	wessel kraaij
7DE1A4AD	enrique amigo
81742F3D	bin ma
86208F3B	ignacio thayer
77D60AB1	chitta baral
7F9A1D64	kazuyoshi murata
2F997E03	anders bjorkelund
86271C81	congjun long
7ED87860	joyce conner
28B47E00	shyamala doraisamy
751A87B2	michiko kosaka
5CCFBC9C	jose miguel bened
6EE5A17C	virinder s kalra
7F25D8FE	m m gordon
85D6D6DC	douglas w oard
71711CF9	abdulaziz almohimeed
7F01D838	nancy chang
862B584C	lis pereira
7ADC7CEB	wlodzislaw duch
7FFC1CAC	fujii atsushi
858029CA	roman klinger
6D07E9C5	kedar bellare
7E4F43E2	barbara gawronska
853F93FF	slav petrov
7BF8ACD8	doug beeferman
75DA0C83	pierre nugues
80D0B61A	anandaswarup vadapalli
80F705B7	david sontag
25B08510	phunthara sroison
85EEA0E2	phil maguire
7F3002E5	katrin schweitzer
802EE954	toshiro makino
7E8F3DBC	ellen campana
863E5705	iryna gurevych
7AD3EA52	olga mudraya
83C62CC6	xiaojie wang
29C55418	luisa coheur
5B94E8A3	scott novotney
7DC5D925	jinyeong bak
7C64EC62	enis sert
776AEFF3	geoffrey nunberg
0AE588D7	ryo ochitani
8034D0D1	man lan
7FD407E5	haitong yang
7BDDCBAD	anna kazantseva
86220404	xiaochang peng
733E4565	toni badia
8635019B	gongbo zhang
804D8851	sumit bhatia
108C627D	veronique moriceau
05424A5F	josef ruppenhofer
