7E06F079	8046E9C4
77C37A9F	7F5B276F
77C37A9F	7F4B8B52
7FD476F0	7C859F58
7FD476F0	86225EA6
7FD476F0	7D6E9EF4
0F6AD5C8	80273373
0F6AD5C8	80733FA0
0F6AD5C8	0CCE9BFE
0F6AD5C8	7E50AF3E
0F6AD5C8	80CAE529
4230BF54	81676469
4230BF54	7E3E9E56
16971A5A	753DFD81
16971A5A	02581BC6
77700733	00721344
79440F14	7E2EF62C
7F65F1C8	13BCADFE
7F65F1C8	7FFC7BD2
7F65F1C8	7D968464
847EF67C	7FDCF3AB
7D488BB6	756F2DA5
7D488BB6	28D7610F
6D3B11CC	854A59D8
6D3B11CC	814078D6
6D3B11CC	863BF890
6D3B11CC	80AAF151
7FE335E4	7D6F2C89
7FE335E4	7EFC993D
7B940808	00721344
7B940808	7E1CC173
7B940808	7C9C1930
7D05A8A6	8636CB70
7FE0DFF7	0A9A229B
7FE0DFF7	0D0D7A2A
7F5780A8	7DC11697
711736C4	2BD4C7AB
80A1A104	7F89EC2A
80A1A104	8002CED3
815D83F7	00390DF9
815D83F7	7ACAA939
7D2E17EE	86258DF9
7D2E17EE	863EAF86
762B41DE	0E609E4B
762B41DE	265B8C2B
7E78DF7D	7F0FE8BF
7D87ABE7	7CEB496A
081FA083	7F95BADF
7F6AC5AA	7D1DB230
7F6AC5AA	8236F3D3
7F6AC5AA	0A80ECDA
002C183E	7FA19C6D
002C183E	793D6712
80028CAD	7F82E3D2
863E3C47	7D40CA6A
863E3C47	7EFC993D
81793E18	7333C417
81793E18	8093C422
0DC179FF	8625535D
0DC179FF	60E2891E
83B87F18	47C4870E
83B87F18	7D819F3C
83B87F18	78BB7D9F
83B87F18	8536018C
83B87F18	751F02A6
83B87F18	82CFE255
83B87F18	7E720E7D
83B87F18	4BA89AEE
83B87F18	85C2E6A9
0299FA59	77BDFDB8
0299FA59	1234BB4C
0299FA59	7FA4C252
0299FA59	7E3AFA7D
0299FA59	2A5EFA54
7A718F73	7D323C65
7A718F73	7D4A78F5
7E2DB4A3	6E761DFD
7E2DB4A3	7D889BDB
80897581	7CECC0A0
80897581	7C251D9A
80897581	7F143FA9
80897581	8530BB83
860CDF0A	8113CBE7
82CD0CFA	7D82AAD9
82CD0CFA	7EAC7E04
82CD0CFA	03147E3B
27CCB116	81676469
27CCB116	854C6D7D
80BF369D	7FF8BF32
80BF369D	80307B73
80BF369D	863A0604
8163D099	772BB923
7C4E5F5B	7EADD5FF
7C4E5F5B	81241747
